30 Hops MAX
1 (2402:f000:1:4410::1) 1500
2 (2402:f000:0:844::69) 1500
3 (2402:f000:0:2b8::186) 1500
4 (2402:f000:0:420::33) 1500
5 cernet2.net(2001:da8:a0:1002::1) 1500
6 cernet2.net(2001:da8:a0:1::1) 1500
7 (2001:da8:1:501::1) 1500
8 wh-bj-v6.cernet2.net(2001:da8:1:1::2) 1500
9 nj-wh-v6.cernet2.net(2001:da8:1:3::2) 1500
10 sh-nj-v6.cernet2.net(2001:da8:1:4::2) 1500
11 (2001:da8:1:505::2) 1500
12 cernet2.net(2001:da8:a4:2::2) 1500
13 (2001:da8:1:505::2) 1500
14 cernet2.net(2001:da8:a4:2::2) 1500
15 (2001:da8:1:505::2) 1500
16 cernet2.net(2001:da8:a4:2::2) 1500
17 (2001:da8:1:505::2) 1500
18 cernet2.net(2001:da8:a4:2::2) 1500
19 (2001:da8:1:505::2) 1500
20 cernet2.net(2001:da8:a4:2::2) 1500
21 (2001:da8:1:505::2) 1500
22 cernet2.net(2001:da8:a4:2::2) 1500
23 (2001:da8:1:505::2) 1500
24 cernet2.net(2001:da8:a4:2::2) 1500
25 (2001:da8:1:505::2) 1500
26 cernet2.net(2001:da8:a4:2::2) 1500
27 (2001:da8:1:505::2) 1500
28 cernet2.net(2001:da8:a4:2::2) 1500
29 (2001:da8:1:505::2) 1500
30 cernet2.net(2001:da8:a4:2::2) 1500
